locale,textKey,text
en-US,todoapp.title,To-Do App
en-US,todoapp.clear.list,Clear list
en-US,todoapp.input.add,Add to list
en-US,todoapp.input.due,+Due
en-US,todoapp.task.nodue,No due time
en-US,task.info.id.text,Task with id
en-US,task.info.title.text,with value
en-US,task.info.duetime.text,has to be done by
en-US,task.info.noduetime.text,.
en-US,task.info.addedat.text,added at
en-US,language.switcher.label,Language
en-US,language.locale.en-US,English US
en-US,language.locale.hr-HR,Croatian
hr-HR,todoapp.title,To-Do Aplikacija
hr-HR,todoapp.clear.list,Ocisti listu
hr-HR,todoapp.input.add,Dodaj
hr-HR,todoapp.input.due,+Rok
hr-HR,todoapp.task.nodue,Bez roka
hr-HR,task.info.id.text,Zadatak s ID
hr-HR,task.info.title.text,s vrijednoscu
hr-HR,task.info.duetime.text,mora biti zavrsen do
hr-HR,task.info.noduetime.text,.
hr-HR,task.info.addedat.text,dodan u
hr-HR,language.switcher.label,Jezik
hr-HR,language.locale.en-US,Engleski US
hr-HR,language.locale.hr-HR,Hrvatski
